2026-03-27 01:59:21,018 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:59:21,020 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:59:23,294 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:59:23,294 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:59:23,298 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:59:23,298 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:59:24,187 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:59:24,192 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:59:24,192 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:59:25,328 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:59:25,332 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:59:25,333 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:59:25,477 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:59:25,482 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:59:25,482 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:59:42,292 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:59:42,297 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:59:42,297 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:59:43,563 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:59:44,017 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:59:44,022 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:59:44,022 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:59:44,445 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:59:44,449 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:59:44,450 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:59:44,716 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:59:44,721 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:59:44,721 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 02:00:29,236 | INFO | __main__ | Aplicação iniciada
2026-03-27 02:00:29,237 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 02:00:30,893 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:00:30,893 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:00:30,897 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:00:30,897 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 02:00:31,740 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:00:31,745 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:00:31,745 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 02:01:02,778 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:01:06,269 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:01:06,274 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:01:06,275 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 02:01:07,130 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:10:40,149 | INFO | __main__ | Aplicação iniciada
2026-03-27 02:10:40,151 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 02:10:41,782 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:10:41,782 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:10:41,786 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:10:41,786 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 02:10:42,928 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:10:42,933 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:10:42,933 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 02:10:50,252 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:10:51,335 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:10:51,340 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:10:51,341 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 02:12:02,772 | INFO | __main__ | Aplicação iniciada
2026-03-27 02:12:02,773 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 02:12:04,347 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:12:04,348 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:12:04,351 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:12:04,352 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 02:12:05,067 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:12:05,073 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:12:05,073 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 02:12:12,586 | INFO | __main__ | Aplicação iniciada
2026-03-27 02:12:12,588 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 02:12:13,987 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:12:13,987 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:12:13,991 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 02:12:13,991 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 02:12:14,749 | INFO | __main__ | Página selecionada: Transações
2026-03-27 02:12:14,754 | INFO | src.database.connection | Conectando ao banco de dados
